,geographic_group,country,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag
38,Americas,El Salvador,2.1,15.3,1.07,39.0,72.1,
121,Europe,Sweden,1.91,2.87,4.41,89.0,82.2,0.059000000000000004
82,,Mauritius,1.44,14.3,3.35,53.0,74.5,
72,,Liberia,-10.0,78.9,0.27,37.0,62.0,
112,Europe,Serbia,-10.0,6.28,4.93,40.0,75.1,0.141
116,Europe,Slovenia,-10.0,2.48,6.58,60.0,80.8,0.16399999999999998
7,Europe,Azerbaijan,2.09,26.3,3.86,29.0,70.5,0.133
40,,Eswatini,3.14,62.9,0.89,,55.8,
93,,New Zealand,2.01,5.97,7.77,91.0,81.5,
117,Africa,South Africa,2.49,37.7,8.35,44.0,63.4,0.099
67,,Kuwait,1.99,8.56,24.1,49.0,82.9,
59,Eastern Mediterranean,Iraq,4.43,29.5,4.66,16.0,76.3,0.0
43,Europe,France,1.98,4.1,5.3,70.0,82.5,0.17300000000000001
30,,Cote d'Ivoire,4.97,90.0,0.405,32.0,61.0,
95,,Niger,7.29,94.3,0.10099999999999999,34.0,61.3,
56,South-Eastern Asia,India,2.35,43.6,1.76,38.0,68.4,0.078
15,Americas,Brazil,-10.0,15.7,2.42,38.0,75.5,0.045
41,Africa,Ethiopia,4.32,63.5,0.128,33.0,67.2,0.021
16,Europe,Bulgaria,1.55,8.18,6.69,41.0,74.8,0.071
23,Americas,Chile,-10.0,7.89,4.55,70.0,79.6,
1,,Albania,-10.0,9.6,1.6,36.0,78.0,
64,,Jordan,3.45,17.7,2.75,53.0,79.1,
89,,Myanmar,2.23,51.6,0.42100000000000004,22.0,67.8,
79,,Mali,6.15,109.0,0.17800000000000002,35.0,61.1,
61,,Israel,3.0,3.92,8.15,61.0,82.6,0.0
109,,Rwanda,3.97,41.3,0.0816,54.0,67.7,
62,Europe,Italy,1.46,3.43,5.88,44.0,82.6,0.177
2,Africa,Algeria,-10.0,24.9,3.8,36.0,77.1,0.078
137,Western Pacific,Vietnam,1.96,21.8,1.95,31.0,74.3,0.046
14,Africa,Botswana,-10.0,40.7,2.56,63.0,66.9,
